Year	Month	Nb_of_distinct_IPs	Nb_of_downloads
2019	Jan	3318	7178
2019	Feb	3305	7284
2019	Mar	3323	6897
2019	Apr	3669	7813
2019	May	3644	9005
2019	Jun	3023	6866
2019	Jul	2822	5769
2019	Aug	2579	5162
2019	Sep	2929	5355
2019	Oct	3304	7291
2019	Nov	3378	8859
2019	Dec	2593	7386
2019	all	29036	84865
