Year	Month	Nb_of_distinct_IPs	Nb_of_downloads
2020	Jan	3081	8660
2020	Feb	3383	11237
2020	Mar	3606	10762
2020	Apr	3718	8077
2020	May	3569	6475
2020	Jun	3310	5822
2020	Jul	3373	6240
2020	Aug	2935	6221
2020	Sep	3417	12128
2020	Oct	3671	9907
2020	Nov	3972	10394
2020	Dec	3194	8781
2020	all	33933	104704
