Year	Month	Nb_of_distinct_IPs	Nb_of_downloads
2019	Jan	487	742
2019	Feb	515	751
2019	Mar	511	817
2019	Apr	542	869
2019	May	631	1119
2019	Jun	518	818
2019	Jul	522	792
2019	Aug	469	744
2019	Sep	477	797
2019	Oct	564	879
2019	Nov	626	1088
2019	Dec	483	770
2019	all	5233	10186
